Id;LotArea;Neighborhood;OverallQual;YearBuilt;TotalBsmtSF;FullBath;KitchenQual;SalePrice
98;10921;Edwards;4;1965;960;1;TA;94750.57
99;10625;Edwards;5;1920;458;1;TA;83000.66
100;9320;NAmes;4;1959;950;1;TA;128950.21
101;10603;NWAmes;6;1977;1610;2;Gd;205000.77
102;9206;SawyerW;6;1985;741;2;Gd;178000.86
103;7018;SawyerW;5;1979;0;2;TA;118964.165
104;10402;CollgCr;7;2009;1226;2;Gd;198900.18
105;7758;IDOTRR;7;1931;1040;1;TA;169500.21
106;9375;Somerst;8;2003;1053;2;Gd;250000.24
107;10800;OldTown;4;1885;641;1;TA;100000.35
108;6000;OldTown;5;1948;789;1;TA;115000.55
109;8500;IDOTRR;5;1919;793;2;Fa;115000.75
110;11751;NWAmes;6;1977;1844;2;TA;190000.18
111;9525;Edwards;6;1954;994;2;TA;136900.95
112;7750;Gilbert;7;2000;384;2;TA;180000.25
113;9965;CollgCr;7;2007;1264;2;Ex;383970.35
114;21000;Crawfor;6;1953;1809;2;Gd;217000.45
115;7259;Crawfor;6;1945;1028;2;Gd;259500.57
116;3230;Somerst;6;1999;729;2;TA;176000.66
117;11616;Sawyer;5;1962;1092;1;TA;139000.21
118;8536;Edwards;5;2006;1125;1;TA;155000.77
119;12376;SawyerW;7;1990;1673;3;Gd;320000.86
120;8461;CollgCr;6;2005;728;2;Gd;163990.165
121;21453;ClearCr;6;1969;938;1;TA;180000.18
122;6060;IDOTRR;4;1939;732;1;TA;100000.21
123;9464;NAmes;6;1958;1080;1;TA;136000.24
124;7892;SawyerW;6;1993;1199;2;Gd;153900.35
125;17043;NWAmes;6;1979;1362;2;TA;181000.55
126;6780;IDOTRR;6;1935;520;1;TA;84500.75
127;4928;NPkVill;6;1976;1078;2;TA;128000.18
128;4388;OldTown;5;1930;672;1;TA;87000.95
129;7590;NAmes;6;1966;660;1;TA;155000.25
130;8973;NAmes;5;1958;1008;1;Ex;150000.35
131;14200;NAmes;7;1966;924;2;Gd;226000.45
132;12224;Gilbert;6;2000;992;2;Gd;244000.57
133;7388;NAmes;5;1959;1063;1;Gd;150750.66
134;6853;Timber;8;2001;1267;2;Gd;220000.21
135;10335;Sawyer;5;1968;1461;2;TA;180000.77
136;10400;NWAmes;7;1970;1304;2;TA;174000.86
137;10355;NAmes;5;1967;1214;2;TA;143000.165
138;11070;Mitchel;7;1988;1907;3;TA;171000.18
139;9066;CollgCr;8;1999;1004;2;Gd;230000.21
140;15426;CollgCr;6;1997;928;2;Gd;231500.24
141;10500;NAmes;4;1971;864;1;TA;115000.35
142;11645;CollgCr;7;2005;1734;2;Gd;260000.55
143;8520;NAmes;5;1952;910;2;TA;166000.75
144;10335;CollgCr;7;1999;1490;2;Gd;204000.18
145;9100;Sawyer;5;1963;1728;2;TA;125000.95
146;2522;Edwards;6;2004;970;2;Gd;130000.25
147;6120;BrkSide;5;1931;715;1;TA;105000.35
148;9505;Gilbert;7;2001;884;2;Gd;222500.45
149;7500;SawyerW;7;2004;1080;1;Gd;141000.57
150;6240;BrkSide;5;1936;896;1;TA;115000.66
151;10356;CollgCr;5;1975;969;1;TA;122000.21
152;13891;NridgHt;8;2007;1710;2;Gd;372402.77
153;14803;NWAmes;6;1971;825;2;TA;190000.86
154;13500;ClearCr;6;1960;1602;1;TA;235000.165
155;11340;OldTown;6;1923;1200;1;TA;125000.18
156;9600;Edwards;6;1924;572;1;TA;79000.21
157;7200;NAmes;5;1950;0;1;TA;109500.24
158;12003;Timber;8;2009;774;2;Ex;269500.35
159;12552;Somerst;7;2004;991;2;Gd;254900.55
160;19378;Gilbert;7;2005;1392;2;Gd;320000.75
161;11120;Veenker;6;1984;1232;2;TA;162500.18
162;13688;NridgHt;9;2003;1572;2;Ex;412500.95
163;12182;NridgHt;7;2005;1541;2;Gd;220000.25
164;5500;OldTown;4;1956;882;1;TA;103200.35
165;5400;OldTown;6;1926;1149;2;Gd;152000.45
166;10106;Edwards;5;1940;644;2;TA;127500.57
167;10708;ClearCr;5;1955;1617;1;TA;190000.66
168;10562;NridgHt;8;2007;1582;1;Ex;325624.21
169;8244;Gilbert;7;2004;840;2;Gd;183500.77
170;16669;Timber;8;1981;1686;2;TA;228000.86
171;12358;OldTown;5;1941;720;1;TA;128500.165
172;31770;NAmes;6;1960;1080;1;TA;215000.18
173;5306;StoneBr;7;1987;1064;2;Gd;239000.21
174;10197;NAmes;6;1961;1362;1;TA;163000.24
175;12416;Timber;6;1986;1606;2;TA;184000.35
176;12615;Edwards;6;1950;1202;2;Gd;243000.55
177;10029;ClearCr;6;1988;1151;2;TA;211000.75
178;13650;Sawyer;5;1958;1052;2;Gd;172500.18
179;17423;StoneBr;9;2008;2216;2;Ex;501837.95
180;8520;OldTown;5;1923;968;1;TA;100000.25
181;2117;Somerst;6;2000;756;2;Gd;177000.35
182;7588;Crawfor;7;1920;793;1;TA;200100.45
183;9060;Edwards;5;1957;0;1;TA;120000.57
184;11426;OldTown;7;2003;1362;2;Gd;200000.66
185;7438;BrkSide;5;1908;504;1;TA;127000.21
186;22950;OldTown;10;1892;1107;2;Ex;475000.77
187;9947;Mitchel;7;1990;1188;2;Gd;173000.86
188;10410;OldTown;5;1916;660;2;TA;135000.165
189;7018;SawyerW;5;1979;1086;0;TA;153337.18
190;4923;StoneBr;8;2001;1593;1;Ex;286000.21
191;10570;Crawfor;8;1932;853;2;Gd;315000.24
192;7472;NAmes;7;1972;725;1;Gd;184000.35
193;9017;CollgCr;7;1999;1431;2;Gd;192000.55
194;2522;Edwards;7;2004;970;2;Gd;130000.75
195;7180;CollgCr;5;1972;864;1;TA;127000.18
196;2280;NPkVill;6;1976;855;2;TA;148500.95
197;9416;Somerst;7;2007;1726;2;Ex;311872.25
198;25419;NAmes;8;1918;1360;2;Gd;235000.35
199;5520;OldTown;6;1912;755;1;TA;104000.45
200;9591;NridgHt;8;2004;1713;2;Ex;274900.57
201;8546;Edwards;4;2003;1121;2;TA;140000.66
202;10125;Mitchel;6;1977;1196;2;TA;171500.21
203;7000;OldTown;6;1924;617;2;TA;112000.77
204;4438;CollgCr;6;2004;848;1;Gd;149000.86
205;3500;OldTown;5;1947;720;1;TA;110000.165
206;11851;Gilbert;7;1990;1424;2;TA;180500.18
207;13673;Sawyer;5;1962;1140;1;TA;143900.21
208;12493;NAmes;4;1960;1100;1;TA;141000.24
209;14364;SawyerW;7;1988;1157;2;TA;277000.35
210;8250;NAmes;6;1964;1092;1;TA;145000.55
211;5604;Edwards;5;1925;864;1;TA;98000.75
212;10420;Edwards;6;2009;1212;2;Gd;186000.18
213;8640;Somerst;7;2009;900;2;Gd;252678.95
214;13568;CollgCr;5;1995;990;1;TA;156000.25
215;10900;CollgCr;6;1977;689;1;TA;161750.35
216;10011;NAmes;5;1957;1070;1;Gd;134450.45
217;8450;CollgCr;7;2004;1436;2;Gd;210000.57
218;9906;OldTown;4;1925;686;1;TA;107000.66
219;15660;Crawfor;7;1939;798;1;Gd;311500.21
220;3010;Blmngtn;7;2005;1248;2;Gd;167240.77
221;8990;CollgCr;7;2006;1498;2;Gd;204900.86
222;8068;Gilbert;6;2002;1010;2;Gd;200000.165
223;11475;NWAmes;6;1975;713;2;TA;179900.18
224;10500;NAmes;4;1971;864;1;TA;97000.21
225;13472;NridgHt;10;2003;2392;2;Ex;386250.24
226;1680;BrDale;5;1971;630;2;TA;112000.35
227;9950;NoRidge;7;1995;1203;2;Gd;290000.55
228;1869;BrDale;6;1970;483;1;TA;106000.75
229;8521;Sawyer;5;1967;912;1;TA;125000.18
230;3182;Blmngtn;7;2005;1373;2;Gd;192500.95
231;8760;NAmes;6;1959;1194;1;TA;148000.25
232;15138;NoRidge;8;1995;1462;2;Ex;403000.35
233;1680;BrDale;6;1972;483;1;TA;94500.45
234;10650;CollgCr;5;1976;894;1;TA;128200.57
235;7851;Gilbert;6;2002;860;2;Gd;216500.66
236;1680;BrDale;6;1971;483;1;TA;89500.21
237;8773;CollgCr;7;2004;1414;2;Gd;185500.77
238;9453;SawyerW;7;1993;996;2;Gd;194500.86
239;12030;NridgHt;8;2007;1694;2;Gd;318000.165
240;8741;Edwards;6;1945;735;1;TA;113000.18
241;9000;Somerst;8;2008;1566;2;Gd;262500.21
242;3880;OldTown;5;1945;686;1;Gd;110500.24
243;5000;OldTown;5;1900;540;1;TA;79000.35
244;10762;SawyerW;6;1980;626;1;TA;120000.55
245;8880;SawyerW;7;1994;948;2;Gd;205000.75
246;10400;NWAmes;7;1988;1845;2;TA;241500.18
247;9142;OldTown;6;1910;1020;2;Fa;137000.95
248;11310;NAmes;6;1954;1367;1;TA;140000.25
249;11317;CollgCr;7;2003;840;2;Gd;180000.35
250;159000;ClearCr;6;1958;1444;2;Gd;277000.45
251;5350;BrkSide;3;1940;728;1;Fa;76500.57
252;4750;Crawfor;8;2006;1573;2;Gd;235000.66
253;8366;SawyerW;6;2004;798;2;Gd;173000.21
254;9350;NAmes;6;1964;1302;2;Gd;158000.77
255;8400;NAmes;5;1957;1314;1;TA;145000.86
256;8738;Gilbert;7;1999;975;2;Gd;230000.165
257;8791;Somerst;6;2003;864;2;Gd;207500.18
258;8814;CollgCr;7;2006;1604;2;Gd;220000.21
259;12435;CollgCr;7;2001;963;2;Gd;231500.24
260;12702;OldTown;5;1956;0;1;TA;97000.35
261;19296;NAmes;6;1962;1362;1;TA;176000.55
262;9588;CollgCr;8;2007;1482;2;Ex;276000.75
263;8471;Sawyer;6;1977;506;1;TA;151000.18
264;5500;OldTown;5;1929;926;1;TA;130000.95
265;5232;OldTown;5;1925;680;1;TA;73000.25
266;12090;NWAmes;6;1981;1422;2;Gd;175500.35
267;11207;Gilbert;6;1997;802;2;TA;185000.45
268;8400;SWISU;5;1939;720;2;Gd;179500.57
269;6900;IDOTRR;5;1940;740;1;TA;120500.66
270;7917;Edwards;6;1976;1143;1;TA;148000.21
271;10728;Somerst;8;2006;1095;2;Gd;266000.77
272;39104;ClearCr;7;1954;1385;1;TA;241500.86
273;11764;NoRidge;8;1999;1152;2;Gd;290000.165
274;9600;NAmes;6;1958;1240;2;TA;139000.18
275;8314;Mitchel;5;1982;816;1;TA;124500.21
276;7264;BrkSide;7;1925;952;2;Ex;205000.24
277;9196;Mitchel;7;2003;1560;2;Gd;201000.35
278;19138;Gilbert;4;1951;864;1;TA;141000.55
279;14450;NridgHt;9;2006;2121;2;Ex;415298.75
280;10005;ClearCr;7;1977;1160;2;TA;192000.18
281;11287;SawyerW;7;1989;807;2;Gd;228500.95
282;7200;Somerst;6;2006;1262;2;Gd;185000.25
283;5063;NridgHt;7;2007;1314;2;Gd;207500.35
284;9612;Somerst;8;2008;1468;2;Gd;244600.45
285;8012;SawyerW;6;1992;1575;2;Gd;179200.57
286;4251;Somerst;7;2006;625;2;Gd;164700.66
287;9786;NAmes;6;1962;912;1;Gd;159000.21
288;8125;NAmes;4;1971;858;1;TA;88000.77
289;9819;Sawyer;5;1967;882;1;TA;122000.86
290;8730;BrkSide;6;1915;698;1;TA;153575.165
291;15611;CollgCr;8;2006;1079;2;Gd;233230.18
292;5687;SWISU;5;1912;780;2;Fa;135900.21
293;11409;Edwards;5;1949;768;1;TA;131000.24
294;16659;NWAmes;7;1977;795;2;Gd;235000.35
295;9600;NAmes;6;1953;1416;1;TA;167000.55
296;7937;Mitchel;6;1984;1003;1;TA;142500.75
297;13710;IDOTRR;5;1950;910;1;TA;152000.18
298;7399;Somerst;7;1997;975;2;Gd;239000.95
299;11700;NWAmes;6;1968;702;1;TA;175000.25
300;14000;Crawfor;6;1950;1092;1;Gd;158500.35
301;15750;Crawfor;5;1953;1165;1;TA;157000.45
302;16226;CollgCr;8;1998;1028;2;Gd;267000.57
303;13704;CollgCr;7;2001;1541;2;Gd;205000.66
304;9800;CollgCr;5;1972;894;1;TA;149900.21
305;18386;OldTown;7;1880;1470;3;Gd;295000.77
306;10386;CollgCr;8;2004;2000;2;Gd;305900.86
307;13474;SawyerW;7;1990;700;2;Gd;225000.165
308;7920;IDOTRR;6;1920;319;1;Fa;89500.18
309;12342;Edwards;4;1940;861;1;TA;82500.21
310;12378;NridgHt;9;2003;1896;2;Ex;360000.24
311;7685;Gilbert;6;1993;697;2;Gd;165600.35
312;8000;NAmes;6;1948;972;1;TA;132000.55
313;7800;OldTown;5;1939;793;1;TA;119900.75
314;215245;Timber;7;1965;2136;2;TA;375000.18
315;9600;OldTown;7;1925;728;1;Ex;178000.95
316;7795;Gilbert;7;2004;716;2;Gd;188500.25
317;13005;NWAmes;7;1980;845;2;Ex;260000.35
318;9000;Somerst;8;2006;1088;2;Gd;270000.45
319;9900;NoRidge;7;1993;1347;2;Gd;260000.57
320;14115;NWAmes;7;1980;1372;2;TA;187500.66
321;16259;NridgHt;9;2006;1249;3;Gd;342643.21
322;12099;NridgHt;8;2004;1136;2;Gd;354000.77
323;10380;SawyerW;7;1986;1502;2;Gd;301000.86
324;5820;OldTown;3;1955;1162;1;TA;126175.165
325;11275;NAmes;7;1967;710;2;Gd;242000.18
326;5000;IDOTRR;5;1941;720;1;TA;87000.21
327;10846;Veenker;8;1993;1719;1;Gd;324000.24
328;11600;NAmes;6;1960;1383;1;TA;145250.35
329;11888;BrkSide;6;1916;844;2;Gd;214500.55
330;6402;IDOTRR;5;1920;596;1;TA;78000.75
331;10624;NAmes;5;1964;1728;2;TA;119000.18
332;8176;NAmes;5;1958;1056;1;TA;139000.95
333;10655;NridgHt;8;2003;3206;2;Gd;284000.25
334;8198;NridgHt;7;2004;1358;2;Gd;207000.35
335;9042;Gilbert;6;1998;943;2;TA;192000.45
336;164660;Timber;5;1965;1499;2;TA;228950.57
337;14157;StoneBr;9;2005;1922;2;Gd;377426.66
338;9135;CollgCr;7;2002;1536;2;Gd;214000.21
339;14145;NWAmes;7;1984;1208;2;Gd;202500.77
340;12400;NAmes;6;1958;1215;1;TA;155000.86
341;14191;Timber;8;2002;967;2;Gd;202900.165
342;8400;SawyerW;4;1950;721;1;TA;82000.18
343;8544;NAmes;3;1949;0;2;TA;87500.21
344;8849;NridgHt;9;2005;1684;2;Ex;266000.24
345;2592;MeadowV;5;1976;536;1;TA;85000.35
346;6435;BrkSide;6;1939;972;1;Fa;140200.55
347;12772;NAmes;6;1960;958;1;TA;151500.75
348;17600;NAmes;6;1960;1478;2;TA;157500.18
349;2448;NridgHt;7;2003;764;2;Gd;154000.95
350;20431;NridgHt;9;2005;1848;2;Ex;437154.25
351;7820;NridgHt;9;2007;1869;2;Ex;318061.35
352;5271;ClearCr;7;1986;1453;1;Gd;190000.45
353;9084;Edwards;5;1941;616;1;TA;95000.57
354;8520;OldTown;6;1928;624;1;TA;105900.66
355;8400;SWISU;6;1940;940;1;TA;140000.21
356;11249;CollgCr;6;1995;1200;2;Gd;177500.77
357;9248;Gilbert;6;1992;1158;2;Gd;173000.86
358;4224;MeadowV;5;1976;1142;1;TA;134000.165
359;6930;ClearCr;5;1958;1062;1;Gd;130000.18
360;12011;NoRidge;8;1998;1086;2;Gd;280000.21
361;7540;Mitchel;6;1978;888;1;TA;156000.24
362;9144;BrkSide;5;1940;883;1;TA;145000.35
363;7301;Edwards;7;2003;0;3;Gd;198500.55
364;1680;BrDale;6;1972;483;1;Gd;118000.75
365;18800;NWAmes;6;1976;796;2;TA;190000.18
366;10690;IDOTRR;5;1920;672;1;TA;147000.95
367;9500;NAmes;6;1963;1394;1;TA;159000.25
368;9150;NAmes;6;1962;1099;1;TA;165000.35
369;7800;NAmes;5;1954;1268;1;TA;132000.45
370;9830;NAmes;5;1959;1063;1;Gd;162000.57
371;8121;Gilbert;6;2000;953;2;TA;172400.66
372;17120;ClearCr;4;1959;0;2;TA;134432.21
373;7175;SawyerW;6;1984;744;1;TA;125000.77
374;10634;NAmes;5;1953;608;1;TA;123000.86
375;8200;CollgCr;7;2003;847;2;Gd;219500.165
376;10020;Edwards;1;1922;683;0;Fa;61000.18
377;8846;CollgCr;5;1996;870;1;TA;148000.21
378;11143;Somerst;8;2004;1580;3;Gd;340000.24
379;11394;StoneBr;9;2010;1856;1;Ex;394432.35
380;8123;Gilbert;6;2000;982;2;TA;179000.55
381;5000;SWISU;5;1924;1026;2;Gd;127000.75
382;7200;Somerst;7;2006;1293;2;Gd;187750.18
383;9245;CollgCr;7;2006;939;2;Gd;213500.95
384;9000;SawyerW;6;1928;784;1;TA;76000.25
385;53107;ClearCr;6;1992;1580;2;Gd;240000.35
386;3182;Blmngtn;8;2004;1256;2;Gd;192000.45
387;8410;Edwards;5;1910;658;1;TA;81000.57
388;7200;Edwards;6;1976;1041;1;TA;125000.66
389;9382;CollgCr;7;1999;1468;2;Gd;191000.21
390;12474;NridgHt;10;2007;1682;2;Ex;426000.77
391;8405;Edwards;5;1900;861;1;TA;119000.86
392;12209;Mitchel;6;2001;804;2;Gd;215000.165
393;8339;NAmes;5;1959;0;1;TA;106500.18
394;7446;BrkSide;4;1941;788;1;TA;100000.21
395;10134;OldTown;5;1940;735;1;TA;109000.24
396;9571;Edwards;5;1956;1144;1;TA;129000.35
397;7200;CollgCr;5;1972;894;1;TA;123000.55
398;7590;NAmes;5;1962;864;2;TA;169500.75
399;8967;IDOTRR;5;1920;961;1;TA;67000.18
400;8125;Somerst;7;2006;1092;2;Gd;241000.95
401;14963;Veenker;8;1996;1260;1;Ex;245500.25
402;8767;CollgCr;7;2005;1310;2;Gd;164990.35
403;10200;Sawyer;5;1940;672;1;TA;108000.45
404;12090;NoRidge;8;1998;1141;2;Gd;258000.57
405;10364;Gilbert;6;1995;806;2;TA;168000.66
406;9991;Sawyer;4;1976;1281;2;TA;150000.21
407;10480;SWISU;6;1936;1064;1;TA;115000.77
408;15576;Crawfor;6;1915;840;2;TA;177000.86
409;14154;NridgHt;7;2006;1063;2;Gd;280000.165
410;10800;Somerst;8;2007;1034;2;Ex;339750.18
411;9571;Edwards;5;1958;1276;1;TA;60000.21
412;34650;Gilbert;5;1955;1056;1;TA;145000.24
413;4403;Somerst;7;2009;1470;2;Gd;222000.35
414;8960;OldTown;5;1927;1008;1;TA;115000.55
415;11228;SawyerW;7;1993;1080;2;Gd;228000.75
416;8899;Gilbert;7;2007;1340;2;Gd;181134.18
417;7844;Sawyer;6;1978;672;1;TA;149500.95
418;22420;Crawfor;6;1918;1370;2;TA;239000.25
419;8160;Edwards;5;1940;756;1;TA;126000.35
420;8450;NAmes;5;1968;1056;1;TA;142000.45
421;7060;Mitchel;7;1997;1344;2;TA;206300.57
422;16635;NWAmes;6;1977;1602;2;Gd;215000.66
423;21750;Mitchel;5;1954;988;1;TA;113000.21
424;9200;NoRidge;8;1998;1470;2;Gd;315000.77
425;9000;NAmes;6;1956;1196;1;TA;139000.86
426;3378;OldTown;7;1946;651;1;TA;135000.165
427;12800;SawyerW;7;1989;1518;2;Gd;275000.18
428;8593;NAmes;4;1957;907;1;TA;109008.21
429;6762;CollgCr;7;2007;1208;2;Gd;195400.24
430;11457;Timber;6;1988;1392;2;Gd;175000.35
431;1680;BrDale;6;1971;483;1;TA;85400.55
432;5586;OldTown;6;1920;901;1;TA;79900.75
433;1920;BrDale;5;1971;765;1;TA;122500.18
434;10839;Gilbert;6;1997;926;2;TA;181000.95
435;1890;MeadowV;4;1972;630;1;TA;81000.25
436;10667;CollgCr;7;1996;799;2;Gd;212000.35
437;4400;OldTown;6;1920;648;1;TA;116000.45
438;6000;BrkSide;6;1926;884;1;TA;119000.57
439;4280;Crawfor;5;1913;440;1;Gd;90350.66
440;12354;Edwards;6;1920;684;1;Gd;110000.21
441;15431;NridgHt;10;2008;3094;2;Ex;555000.77
442;12108;Edwards;4;1955;1440;2;Fa;118000.86
443;6240;BrkSide;5;1930;1078;2;TA;162900.165
444;3922;Blmngtn;7;2006;1258;2;Gd;172500.18
445;8750;CollgCr;7;1994;915;2;Gd;210000.21
446;9855;Edwards;6;1956;1436;1;TA;127500.24
447;16492;NAmes;6;1966;1517;2;Gd;190000.35
448;11214;Gilbert;7;1998;930;2;Gd;199900.55
449;8600;IDOTRR;6;1937;780;2;TA;119500.75
450;6000;OldTown;3;1948;649;1;TA;120000.18
451;5684;OldTown;6;1930;813;1;Gd;110000.95
452;70761;ClearCr;7;1975;1533;2;Gd;280000.25
453;9303;Timber;6;1996;872;2;TA;204000.35
454;9000;Somerst;8;2008;768;2;Gd;210000.45
455;9297;Mitchel;5;1976;1728;2;TA;188000.57
456;9600;NWAmes;7;1973;1242;1;TA;175500.66
457;4571;OldTown;5;1916;624;1;TA;98000.21
458;53227;ClearCr;4;1954;1364;1;Gd;256000.77
459;5100;OldTown;8;1925;588;1;Gd;161000.86
460;7015;BrkSide;5;1950;709;1;Gd;110000.165
461;8004;Somerst;8;2009;832;2;TA;263435.18
462;7200;SWISU;7;1936;560;1;Gd;155000.21
463;8281;Sawyer;5;1965;864;1;TA;62383.24
464;11988;Crawfor;6;1934;715;1;TA;188700.35
465;8430;CollgCr;5;1978;1040;2;TA;124000.55
466;3072;Blmngtn;7;2004;1375;2;Gd;178740.75
467;10628;NAmes;7;1970;1277;1;TA;167000.18
468;9480;NAmes;5;1942;728;1;Gd;146500.95
469;11428;NridgHt;8;2006;1626;2;Gd;250000.25
470;9291;SawyerW;6;1993;832;2;Gd;187000.35
471;6820;StoneBr;8;1985;1488;1;Gd;212000.45
472;11952;NWAmes;7;1977;808;2;TA;190000.57
473;3675;Edwards;6;2005;547;1;TA;148000.66
474;14977;NridgHt;8;2006;1976;2;Gd;440000.21
475;5330;StoneBr;8;2000;1494;2;Ex;251000.77
476;8480;Sawyer;5;1963;970;1;TA;132500.86
477;13125;CollgCr;6;1997;1478;2;Gd;208900.165
478;13693;NridgHt;9;2006;2153;2;Ex;380000.18
479;10637;CollgCr;8;2007;1705;2;Gd;297000.21
480;5925;OldTown;4;1937;907;1;TA;89471.24
481;16033;NridgHt;9;2004;1833;2;Gd;326000.35
482;11846;NridgHt;9;2003;1792;2;Ex;374000.55
483;2500;OldTown;7;1915;910;1;Ex;155000.75
484;4500;Mitchel;6;1998;1216;2;TA;164000.18
485;7758;Sawyer;5;1962;999;1;Gd;132500.95
